country,year,gwno,ccode,ifscode,ifs,iso,gwabbrev,pop_WDI_PW,gdp_WDI_PW,gdppc_WDI_PW,growth_WDI_PW,pop_WDI,pop_den_WDI,pop_urb_WDI,pop0_14_WDI,workingpop_WDI
Maldives,2015,781,781,556,MDV,,MAD,409163,2954819941,7221.62057,2.846643498,409163,1363.87666,45.53,27.4786405,67.8202262
Nepal,2015,790,790,558,NPL,,NEP,28513700,19660603639,689.514291,2.725272191,28513700,198.909661,18.61,32.6641088,61.7887576
Thailand,2015,800,800,578,THA,,THI,67959359,3.92E+11,5775.13676,2.828335288,67959359,133.021509,50.37,17.7107718,71.8173577
Cambodia (Kampuchea),2015,811,811,522,KHM,,CAM,15577899,15903594934,1020.90756,7.036087179,15577899,88.2500509,20.72,31.6022783,64.2797786
Laos,2015,812,812,544,LAO,,LAO,6802023,10415401473,1531.22114,7.350386008,6802023,29.4715034,38.61,34.7696119,61.4198011
"Vietnam, Democratic Republic of",2015,816,816,582,VNM,,DRV,91713300,1.55E+11,1684.69149,6.679288789,91713300,295.782565,33.59,23.0896874,70.1698056
Malaysia,2015,820,820,548,MYS,,MAL,30331007,3.30E+11,10878.3892,4.968785216,30331007,92.3177811,74.7,25.0179863,69.0905512
Singapore,2015,830,830,576,SGP,,SIN,5535002,2.87E+11,51855.0794,2.008372345,5535002,7806.77292,100,15.5429588,72.7763243
Brunei,2015,835,835,516,BRN,,BRU,423188,13637697103,32226.0959,-0.5668146,423188,80.3013282,77.2,23.1081694,72.4722818
Philippines,2015,840,840,566,PHL,,PHI,100699395,2.66E+11,2639.86843,5.905014562,100699395,337.724771,44.37,31.9485355,63.4718192
Indonesia,2015,850,850,536,IDN,,INS,257563815,9.88E+11,3834.05622,4.793921304,257563815,142.177125,53.74,27.6923872,67.1338836
East Timor,2015,860,860,537,TMP,,ETM,1184765,1224482000,1033.5231,4.3,1184765,79.6748486,32.77,42.4110266,52.0088794
Australia,2015,900,900,193,AUS,,AUL,23789752,1.30E+12,54688.4459,2.240028575,23789752,3.09669656,89.42,18.6980894,66.2570357
Papua New Guinea,2015,910,910,853,PNG,,PNG,7619321,,,,7619321,16.8248929,13,37.1421941,59.848115
New Zealand,2015,920,920,196,NZL,,NEW,4595700,1.69E+11,36801.3956,3.392999933,4595700,17.4535718,86.28,20.2069061,64.9315914
Vanuatu,2015,935,935,846,VUT,,VAN,264652,747161562.6,2823.18502,-0.80109417,264652,21.7105824,26.12,36.5309916,59.2699091
Solomon Islands,2015,940,940,813,SLB,,SOL,583591,861006850.2,1475.36005,3.734439834,583591,20.8499821,22.32,39.4891285,57.1158568
Fiji,2015,950,950,819,FJI,,FJI,892145,3880405926,4349.52381,5.563460807,892145,48.8311439,53.72,28.7446547,65.4243424
Kiribati,2015,970,946,826,KIR,,KBI,112423,181627864.4,1615.57567,3.497048403,112423,138.793827,44.3,34.9465856,61.3495459
Nauru,2015,971,970,836,,,NAU,12475,114067228.2,9143.66558,2.808188315,12475,623.75,100,,
Tonga,2015,972,955,866,TON,,TON,106170,392854758.9,3700.24262,3.706201117,106170,147.458333,23.71,36.7636808,57.3627201
